Player,Pos,GP,G,A,PTS, +/-,PIM,PP,PPA,SH,SHA,GW,FG,IG,OT,UA,EN,SOG,SOA,SOGW,SO%,Pt/G,PIM/G,Shots,Sh%
Sheldon Rempal,RW,55,33,36,69,6,46,14,14,1,0,6,6,2,2,1,0,0,1,0,0,1.25,0.84,191,17.3
Sheldon Dries,C,54,35,27,62,14,20,18,11,0,3,5,3,4,1,2,2,0,0,0,0,1.15,0.37,143,24.5
Nic Petan,C,37,12,32,44,7,20,5,18,1,1,3,3,1,0,1,2,0,1,0,0,1.19,0.54,89,13.5
John Stevens,C,68,19,24,43,14,72,3,6,6,1,1,3,6,0,1,1,0,1,0,0,0.63,1.06,100,19
Jack Rathbone,D,39,10,30,40,4,15,3,19,0,0,2,2,0,0,1,0,0,0,0,0,1.03,0.38,88,11.4
Phil Di Giuseppe,LW,42,12,24,36,3,37,4,8,0,0,1,1,2,0,0,1,2,3,2,66.7,0.86,0.88,138,8.7
Madison Bowey,D,53,8,20,28,18,80,0,5,0,2,4,1,0,1,2,1,0,0,0,0,0.53,1.51,76,10.5
Justin Bailey,RW,30,15,12,27,5,20,4,4,2,1,1,3,0,1,3,1,0,1,0,0,0.9,0.67,73,20.5
Will Lockwood,RW,46,9,16,25,7,38,3,3,0,0,2,2,2,1,1,1,0,0,0,0,0.54,0.83,70,12.9
Jarid Lukosevicius,RW,62,10,9,19,-4,23,1,2,0,0,1,2,2,0,1,0,0,0,0,0,0.31,0.37,122,8.2
Danila Klimovich,RW,62,8,10,18,-8,33,1,2,0,0,1,1,1,0,0,1,0,2,0,0,0.29,0.53,109,7.3
Chase Wouters,C,60,5,13,18,16,62,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0.3,1.03,63,7.9
Noah Juulsen,D,50,3,13,16,-9,63,1,6,0,0,1,1,1,0,0,1,0,1,0,0,0.32,1.26,66,4.5
Devante Stephens,D,59,3,12,15,15,58,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0.25,0.98,43,7
Justin Dowling,C,15,5,9,14,1,0,1,4,0,0,1,0,0,1,1,1,0,0,0,0,0.93,0,24,20.8
Ashton Sautner,D,41,3,10,13,4,28,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0.32,0.68,47,6.4
Cameron Schilling,D,19,1,12,13,5,16,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0.68,0.84,30,3.3
Matt Alfaro,C,36,7,5,12,-5,6,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0.33,0.17,32,21.9
